Date,User,Message
2026-06-18 09:02:11,"민수","다들 안녕하세요 이번 스터디 발표 순서 정해야 할 것 같아요"
2026-06-18 09:03:40,"지영","저는 다음 주 수요일은 어렵고 금요일은 가능해요"
2026-06-18 09:05:02,"현우","금요일 좋아요 저도 가능합니다"
2026-06-18 09:06:15,"민수","그럼 발표는 6/26 금요일 저녁 8시로 확정할게요"
2026-06-18 09:07:30,"지영","주제는 각자 관심 있는 논문으로 하면 될까요?"
2026-06-18 09:08:12,"현우","네 저는 RAG 관련 논문 정리해 올게요"
2026-06-18 09:10:44,"민수","좋습니다. 지영님은 발표 자료 템플릿 공유 부탁드려요"
2026-06-18 09:11:05,"지영","넵 오늘 중으로 공유 드릴게요"
2026-06-19 21:14:09,"새멤버","새멤버님이 들어왔습니다."
2026-06-19 21:20:33,"현우","발표 자료 만들다 보니 GPU 비용 얘기가 필요할 것 같은데 예산 어떻게 할까요"
2026-06-19 21:22:10,"민수","공동 비용으로 처리하고 영수증은 제가 모을게요"
2026-06-20 13:02:55,"지영","템플릿 공유했어요. 노션 링크 확인 부탁드려요"
2026-06-20 13:05:41,"현우","확인했습니다 감사해요"
2026-06-20 18:40:12,"민수","발표 전날인 6/25까지 각자 슬라이드 초안 올려주세요"
2026-06-20 18:41:33,"지영","넵 6/25까지 올릴게요"
2026-06-21 10:15:00,"현우","ㅋㅋ 다들 주말 화이팅"
2026-06-21 10:16:20,"민수","화이팅!"
